Year,NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant
2020,Mary Brown's,Restaurant with onsite dining,yes,yes
2020,Mary's African Cuisine,Restaurant with onsite dining,yes,yes
2020,Mary's Place Cafe II,Restaurant with onsite dining,no,yes
2020,Maskine Pizza,Restaurant with onsite dining,yes,yes
2020,Maskwa Aquatic Club,Not for profit,yes,yes
2020,Massage & Movement Body Studio,Unregulated health professional,yes,yes
2020,Massage Addict,Personal care service,yes,yes
2020,Massage Addict,Unregulated health professional,yes,yes
2020,Massage Addict,Unregulated health professional,yes,yes
2020,Massage Addict,Unregulated health professional,yes,yes
2020,Massage Addict,Unregulated health professional,yes,yes
2020,Massage Experts,Unregulated health professional,yes,yes
2020,Massage Experts,Unregulated health professional,yes,yes
2020,Massage Experts,Unregulated health professional,yes,yes
2020,Massage Experts,Unregulated health professional,yes,yes
2020,Masstown Movement Fitness,Fitness establishment,yes,yes
2020,Master Promotions,In-person trade shows and exhibitions,no,yes
2020,Masters Dental Lab,Self-regulated health professional,yes,yes
2020,Maverick Communications,In-person trade shows and exhibitions,yes,yes
2020,Maverick Studio For Men,Personal care service,no,yes
2020,May Garden,Restaurant with onsite dining,yes,no
2020,May Hair,Personal care service,yes,yes
2020,Mayflower Curling Club,Not for profit,yes,yes
2020,MayGarden Licensed Restaurant,Restaurant with onsite dining,yes,yes
2020,Mayo Brothers Consulting,Unregulated health professional,yes,yes
2020,Mazel Musical Arts Society,"Live, performing arts for audience",yes,no
2020,MB Holdings,Self-regulated health professional,yes,yes
2020,MBBC Food,Restaurant with onsite dining,yes,yes
2020,MC Food Service,Restaurant with onsite dining,yes,yes
2020,McCarron's Massage & Wellness Centre,Unregulated health professional,yes,yes
2020,McCully Chinese Medicine Clinic,Self-regulated health professional,yes,yes
2020,McDonald's,Restaurant with onsite dining,yes,yes
2020,McDonald's,Restaurant with onsite dining,yes,yes
2020,McDonald's Restaurant,Restaurant with onsite dining,yes,yes
2020,McDougall's System Cleaners,Small retail,no,yes
2020,McKay's Family Restaurant,Restaurant with onsite dining,no,yes
2020,McKelvie's,Restaurant with onsite dining,yes,yes
2020,McMahon's Restaurant,Restaurant with onsite dining,yes,yes
2020,ME Family Therapy,Self-regulated health professional,yes,no
2020,Meander River Farm and Brewery,Drinking establishment,yes,yes
2020,Meaningful Body,Unregulated health professional,yes,yes
2020,Meche Salon and Spa,Personal care service,yes,yes
2020,Medi-Clin Blood Collection Service,Unregulated health professional,yes,yes
2020,Meg-Nificent Nails & Gift Boutique,Personal care service,yes,yes
2020,Mello Endodontics,Dental office,no,yes
2020,Melvin Tan Sushi Company,Restaurant with onsite dining,yes,no
2020,Memories Cafe & Eatery,Restaurant with onsite dining,yes,yes
2020,MEND RX,Unregulated health professional,yes,yes
2020,Mens Den Barber Shop,Personal care service,yes,yes
2020,Mental Health Foundation of Nova Scotia,Charity,yes,no
2020,Meraki Hair Beautik,Personal care service,yes,yes
2020,Merigomish Recreation and Social Association,"Live, performing arts for audience",no,yes
2020,Mern's Place Family Diner,Restaurant with onsite dining,yes,yes
2020,Metro Animal Emergency Clinic,Veterinarian,yes,yes
2020,Metro Care and Share Society,Charity,yes,yes
2020,Metro Deli Café & Grill,Small retail,no,yes
2020,Metro Orthodontic Specialists,Dental office,no,yes
2020,Mexican Tako Loko Restaurant,Restaurant with onsite dining,no,yes
2020,Mexico Lindo Restaurant,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes
2020,Mic Mac Dental Centre,Dental office,no,yes
2020,Mic-Mac Amateur Aquatic Club,Not for profit,yes,yes
2020,Mic-Mac Bar and Grill,Restaurant with onsite dining,yes,yes
2020,Middleton Physiotherapy & Osteopathy,Unregulated health professional,yes,yes
2020,Middleton Smiles Dental,Dental office,no,yes
2020,MidEast Food Centre,Restaurant with onsite dining,yes,no
2020,Midtown Boomers Tavern & Lounge,Restaurant with onsite dining,no,yes
2020,Mile East Productions Ltd,In-person trade shows and exhibitions,yes,yes
2020,Milestones Psychological Services,Self-regulated health professional,yes,yes
2020,Mill Cove Dental Centre,Dental office,no,yes
2020,Mill Road Social Enterprises,Charity,yes,yes
2020,Millenium Restaurant,Restaurant with onsite dining,yes,yes
2020,Millennial Salon,Personal care service,yes,yes
2020,Miller Dental Health Centre,Dental office,no,yes
2020,Miller's Dairy Bar,Restaurant with onsite dining,yes,yes
2020,Miller's Gourmet Kettle Corn,In-person trade shows and exhibitions,yes,yes
2020,Millstone Dental,Dental office,no,yes
2020,Millstone Public House,Restaurant with onsite dining,yes,yes
2020,Millstone Public House 2,Restaurant with onsite dining,yes,yes
2020,Minato Sushi Japanese Restaurant,Restaurant with onsite dining,yes,yes
2020,Mind Hack Room Escape,"Live, performing arts for audience",yes,yes
2020,Mineville Physiotherapy,Self-regulated health professional,yes,yes
2020,Ming's Restaurant,Restaurant with onsite dining,yes,yes
2020,Mini-Trail Community Center Association,Charity,yes,yes
2020,Mira Boat Club & Seniors Community Centre,Not for profit,yes,yes
2020,Mira Ferry Market,Independent gas retail,no,yes
2020,Mirchi Tandoor Restaurant,Restaurant with onsite dining,yes,no
2020,Miss Carla's Dance Studio,Fitness establishment,yes,yes
2020,Mizu All You Eat,Restaurant with onsite dining,yes,yes
2020,Mizu Buffet,Restaurant with onsite dining,yes,yes
2020,MJ Barbershop,Personal care service,no,yes
2020,MJS Optometry Incorporated,Self-regulated health professional,yes,yes
2020,MLD Clinic,Personal care service,no,yes
2020,MLD Clinic,Self-regulated health professional,yes,yes
2020,Mobile Physiotherapy,Self-regulated health professional,yes,yes
2020,Modern Age Aesthetics & Wellness,Personal care service,yes,yes
2020,Modern Mane Hair Room,Personal care service,yes,yes
2020,Modern Orchid Southeast Asian Cuisine,Restaurant with onsite dining,yes,yes
2020,Modo Yoga,Fitness establishment,yes,yes
2020,Modo Yoga,Fitness establishment,yes,yes
2020,Moe's Shake Shack,Restaurant with onsite dining,no,yes
2020,Mollon Chiropractic,Self-regulated health professional,yes,yes
2020,Mom2Bee Pregnancy Ultrasound,Unregulated health professional,yes,yes
2020,Momentum Wellness,Unregulated health professional,yes,yes
2020,Mommy & Me 3D/4D/HD Ultrasounds,Personal care service,yes,yes
2020,Mom's Quiltique,In-person trade shows and exhibitions,yes,yes
2020,Mon Repos Day Spa,Personal care service,yes,yes
2020,Monarch Massage Therapy,Unregulated health professional,yes,yes
2020,Montana's BBQ and Bar,Restaurant with onsite dining,yes,yes
2020,Montana's Cookhouse,Restaurant with onsite dining,yes,yes
2020,Montana's Cookhouse,Restaurant with onsite dining,yes,yes
2020,Monte's Bar & Grill,Drinking establishment,yes,yes
2020,Moonlight Medicine Acupuncture and Laser,Unregulated health professional,yes,yes
2020,Moonlight Restaurant,Restaurant with onsite dining,yes,yes
2020,Moontown Market,Restaurant with onsite dining,yes,yes
2020,Morningside Health Institute,Self-regulated health professional,yes,yes
2020,Morris East Pizza + Wine,Restaurant with onsite dining,yes,yes
2020,Morris East Restaurant,Restaurant with onsite dining,yes,yes
2020,Morris East Restaurant + Wine Bar,Restaurant with onsite dining,yes,yes
2020,Morris Video Production,In-person trade shows and exhibitions,no,yes
2020,Mosaic Healing Arts Institute,Self-regulated health professional,yes,yes
2020,Mosiac Market,Restaurant with onsite dining,yes,yes
2020,Motel Transcotia,Restaurant with onsite dining,yes,yes
2020,Mother Nature's Natural Therapy Clinic,Unregulated health professional,yes,yes
2020,Mother Webb's Steakhouse,Restaurant with onsite dining,yes,yes
2020,Mother's Pizza,Restaurant with onsite dining,yes,no
2020,Motion Dance Centre,"Live, performing arts for audience",yes,yes
2020,Motiv Fitness,Fitness establishment,no,yes
2020,Mountain Road Dental,Dental office,no,yes
2020,Move East Studios,Fitness establishment,yes,yes
2020,Move Mobile Massage Therapy,Self-regulated health professional,yes,yes
2020,MOVE Physiotherpy,Self-regulated health professional,yes,yes
2020,Moxham Fitness,Fitness establishment,no,yes
2020,Moxie's Bar & Grill,Restaurant with onsite dining,yes,yes
2020,Moxie's Grill Bar,Restaurant with onsite dining,yes,yes
2020,Moxie's Grill Bar,Restaurant with onsite dining,yes,yes
2020,MP Lash & Brow,Personal care service,yes,yes
2020,Mudwraps to Manicures,Personal care service,yes,yes
2020,Mueller's Dental Arts Laboratory,Self-regulated health professional,yes,yes
2020,Mug & Anchor Pub,Restaurant with onsite dining,yes,yes
2020,Mulgrave Road Theatre Foundation,Charity,yes,yes
2020,Mumford Family Dental Centre,Dental office,no,yes
2020,Munro Denture Clinic,Self-regulated health professional,yes,yes
2020,Murphy's Fish and Chip,Restaurant with onsite dining,yes,no
2020,Murphy's Karate Academy,Fitness establishment,yes,yes
2020,"Murphy's on the Water, Murphy's Sailing Tours Ltd, Murphy's The Cable Wharf",Restaurant with onsite dining,yes,yes
2020,MUSA & Family Designs,Small retail,no,yes
2020,Musgo Convenience,Restaurant with onsite dining,yes,yes
2020,Music Box Entertainment,"Live, performing arts for audience",yes,yes
2020,Music To Your Nails,Personal care service,yes,no
2020,Musquodoboit Harbour & District Lions Club,In-person trade shows and exhibitions,no,yes
2020,My Pretty Nails,Personal care service,yes,yes
2020,My Style,Personal care service,yes,yes
2020,Myer's Tearoom,Restaurant with onsite dining,no,yes
2020,N&D Nails,Personal care service,yes,yes
2020,N&M Tattoo & Piercing,Personal care service,yes,yes
2020,Naan-N-Curry Restaurant,Restaurant with onsite dining,yes,yes
2020,Nabil's Barbershop,Personal care service,yes,yes
2020,Nails By Cash,Personal care service,no,yes
2020,Nails By Lyndsay,Personal care service,yes,yes
2020,Nala's Bakery and Deli,Small retail,no,yes
2020,Nalumana Women's Wellness,Unregulated health professional,yes,no
2020,Namaste Spiritual Studio,Fitness establishment,yes,no
2020,Nani's Esthetics & Laser Center,Personal care service,no,yes
2020,Narrow Espresso,Restaurant with onsite dining,no,yes
2020,Naru Sushi,Restaurant with onsite dining,yes,yes
2020,National Jewellery,Small retail,no,yes
2020,Natural Choices Health Care,Unregulated health professional,yes,yes
2020,Natural Hound's Spa & Boutique,Personal care service,yes,no
2020,Natural Legends Nutritional Consulting,Unregulated health professional,yes,yes
2020,Natural Path Wellness,Unregulated health professional,yes,yes
2020,Natural Route Massage Therapy,Unregulated health professional,yes,yes
2020,Naturally Wood Quality Furnishings & Gifts,In-person trade shows and exhibitions,yes,yes
2020,Nature Folk Wellness Studio,Personal care service,yes,yes
2020,Naturelle Esthetics,Personal care service,yes,yes
2020,Naturopathic Wellness Centre/Rivervalley Partners in Health,Unregulated health professional,yes,yes
2020,Naughty Paw,Small retail,no,yes
2020,Nautilus Aquatics and Hobbies,Small retail,no,yes
2020,Nayya Pizza & Grill,Restaurant with onsite dining,yes,yes
2020,Nearby Planet VR,In-person trade shows and exhibitions,no,yes
2020,Neighbourhood Witch General Store,Small retail,no,yes
2020,Nepsis Floatation,Self-regulated health professional,yes,yes
2020,Neuromuscular Treatment Centre,Self-regulated health professional,yes,yes
2020,New Asia Chinese Restaurant,Restaurant with onsite dining,yes,yes
2020,New Beginnings Health & Fitness,Fitness establishment,yes,yes
2020,New Beginnings Ministries,Not for profit,yes,yes
2020,New Century Restaurant,Restaurant with onsite dining,yes,yes
2020,New Germany & Area Lions Club,Not for profit,yes,no
2020,New Germany Enviro Center,Personal care service,yes,yes
2020,New Glasgow City Club,Drinking establishment,yes,yes
2020,New King Wah Restaurant,Restaurant with onsite dining,yes,yes
2020,New Leaf Café & Catering,Restaurant with onsite dining,yes,yes
2020,New Life Business Solutions,Unregulated health professional,yes,yes
2020,New Minas Dental,Dental office,no,yes
2020,New Moon Restaurant,Restaurant with onsite dining,yes,yes
2020,New Orleans Pizza,Restaurant with onsite dining,no,yes
2020,New Outlook Spa,Personal care service,yes,yes
2020,New Scotland Health Centre,Unregulated health professional,yes,yes
2020,New Vision Optometric Consulting,Self-regulated health professional,yes,yes
2020,New York Fries,Restaurant with onsite dining,yes,yes
2020,New York Fries,Restaurant with onsite dining,yes,yes
2020,Newport & Districk Rink Commission,Charity,yes,yes
2020,Newsbreak Cafe,Restaurant with onsite dining,yes,yes
2020,Niche Lounge,Restaurant with onsite dining,yes,yes
2020,Nicole's Mobile Spa,Personal care service,yes,yes
2020,Nigeria Family Helper Program,Charity,yes,no
2020,Nikki's Acupuncture and Beauty Clinic,Self-regulated health professional,yes,yes
2020,Nikki's Classy Cuts Hairstyling,Personal care service,no,yes
2020,Ninth Gate Gallery,Personal care service,yes,yes
2020,NJ Price Holdings,Unregulated health professional,yes,yes
2020,NLG Design Suite,Personal care service,yes,yes
2020,No Quarter Deli & Market,Restaurant with onsite dining,yes,yes
2020,Noodle Nami,Restaurant with onsite dining,yes,yes
2020,Nora's New To You: (Re) Find,Small retail,no,yes
2020,Norbert's Good Food,Restaurant with onsite dining,yes,yes
2020,Nordic Walking Nova Scotia,Fitness establishment,yes,yes
2020,Noreast Barber,Personal care service,yes,yes
2020,"Norse Cove Cafe, Camping and Supply",Restaurant with onsite dining,yes,yes
2020,North End Massage Therapy,Self-regulated health professional,no,yes
2020,North Mountain Fine Coffees,Restaurant with onsite dining,yes,yes
2020,North Music Therapy,Unregulated health professional,yes,yes
2020,North Ship Harbour Community Hall Auxiliary,Personal care service,no,yes
2020,North Star Health Services,Unregulated health professional,yes,yes
2020,North Star Rowing Club,Not for profit,yes,yes
2020,Northeast Hearing Healthcare,Self-regulated health professional,yes,yes
2020,Northside At Home Care Services,Personal care service,yes,no
2020,Northumberland Community Curling Club,Not for profit,yes,yes
2020,Northumberland Golf Club,Restaurant with onsite dining,no,yes
2020,Norwood Halth Associates,Unregulated health professional,yes,yes
2020,Nourish,Self-regulated health professional,yes,yes
2020,Nourished by Design,Unregulated health professional,yes,yes
2020,"Nourished Magnesium, Inc.",In-person trade shows and exhibitions,yes,yes
2020,Nours Café & Grill,Restaurant with onsite dining,no,yes
2020,Nouvelle Coiffure,Personal care service,no,yes
2020,Nova Chique Salon Boutique,Personal care service,yes,yes
2020,Nova Clinical Massage,Unregulated health professional,yes,no
2020,Nova Colchester Dental,Dental office,no,yes
2020,Nova Dental Associates,Dental office,no,yes
2020,Nova Dogsport Inc,Small retail,no,yes
2020,Nova Elm Dental,Dental office,no,yes
2020,Nova Fitness,Fitness establishment,yes,yes
2020,Nova Functional Assessments,Self-regulated health professional,yes,yes
2020,Nova Hair,Personal care service,yes,no
2020,Nova Lenses,Personal care service,yes,no
2020,Nova Physiotherapy,Unregulated health professional,yes,yes
2020,Nova Physiotherapy,Self-regulated health professional,yes,yes
2020,Nova Physiotherapy,Self-regulated health professional,yes,yes
2020,Nova Scotia Firefighters School,Not for profit,yes,yes
2020,Nova Scotia Interpreting Services Society,Personal care service,yes,no
2020,Nova Scotia Sport Hall of Fame,Not for profit,yes,yes
2020,Nova Scotia Summer Fest,"Live, performing arts for audience",yes,no
2020,Nova Spinal Care,Self-regulated health professional,yes,yes
2020,Nova United Martial Arts,Fitness establishment,yes,yes
2020,Nova Voce Male Choral Society,"Live, performing arts for audience",no,yes
2020,NovaStream,In-person trade shows and exhibitions,yes,yes
2020,NovelTea Bookstore Cafe,Restaurant with onsite dining,yes,yes
2020,NOVIDENT Dental Laboratory,Self-regulated health professional,yes,yes
2020,Now We're Cookin'!,Restaurant with onsite dining,yes,no
2020,Nurture Therapeutics,Unregulated health professional,yes,yes
2020,Nurtured Salon and Spa,Personal care service,yes,yes
2020,Oak Hall Ltd.,Small retail,no,yes
2020,Oakhill & District Fire Department,Charity,yes,yes
2020,Oasis Pub & Eatery,Drinking establishment,yes,yes
2020,Obladee Wine Bar,Restaurant with onsite dining,yes,yes
2020,Ocean Blue Music,"Live, performing arts for audience",no,yes
2020,Ocean Optometry,Self-regulated health professional,yes,yes
2020,Ocean Park Dental Group,Dental office,no,yes
2020,Ocean Periodontal,Dental office,no,yes
2020,Ocean Stone Dental,Dental office,no,yes
2020,Ocean Treasures,Restaurant with onsite dining,yes,yes
2020,Oceanic Art,Personal care service,yes,yes
2020,Oceanlanes Bowling and Sports Bar,Drinking establishment,yes,yes
2020,Oceans 13 Hair Studio,Personal care service,yes,yes
2020,Oceanside Chiropractic Clinic,Self-regulated health professional,yes,yes
2020,Oceanview Christian Academy Association,Not for profit,yes,yes
2020,Oddfellows Barbershop,Personal care service,yes,yes
2020,Odell's Gluten Free Bakery & Cafe,Restaurant with onsite dining,yes,yes
2020,Odette's Hair Design,Personal care service,yes,yes
2020,Odontek,Dental office,no,yes
2020,Odyssey International,In-person trade shows and exhibitions,yes,yes
2020,Off Track Brewing,Drinking establishment,no,yes
2020,Oh My Cod,Restaurant with onsite dining,yes,yes
2020,Oh My Sole! Footwear and Orthotics,Self-regulated health professional,yes,yes
2020,Old Orchard Inn,Restaurant with onsite dining,yes,yes
2020,Old Port Pub & Grill,Drinking establishment,yes,yes
2020,Old Road BBQ,Restaurant with onsite dining,yes,yes
2020,Olena Esthetics,Personal care service,no,yes
2020,Olive Street Entertainment,"Live, performing arts for audience",no,yes
2020,Oliver's Coffees,Restaurant with onsite dining,yes,yes
2020,Olivia Fraser Hair,Personal care service,yes,yes
2020,Olympic Taekwondo Society,Fitness establishment,yes,yes
2020,OMFS Inc.,Dental office,no,yes
2020,On The Mat Yoga,Fitness establishment,yes,yes
2020,On The Wedge Pizza/Presto Pastaworks,Restaurant with onsite dining,yes,yes
2020,On Track Physiotherapy,Self-regulated health professional,yes,yes
2020,One Block Barbershop,Personal care service,yes,yes
2020,One Day Affair Wedding Decor,Small retail,no,yes
2020,One Last Rep Sports Training,Fitness establishment,no,yes
2020,One of a Kind Furniture Decore & More,Small retail,no,yes
2020,One Stop Entertainment,"Live, performing arts for audience",yes,yes
2020,One to One Wellness Centre,Self-regulated health professional,yes,yes
2020,"OnePagePlans.ca, One Day Impact",In-person trade shows and exhibitions,yes,yes
2020,OneUp Fitness,Fitness establishment,yes,yes
2020,OnSide Performance Centre,Fitness establishment,yes,yes
2020,Open Book Coffee,Restaurant with onsite dining,yes,yes
2020,Optimal Wellbeing Clinic,Unregulated health professional,yes,no
2020,Orangetheory Fitness,Fitness establishment,yes,yes
2020,Organize Anything,"Live, performing arts for audience",no,yes
2020,ORSO Pub and Grill,Restaurant with onsite dining,yes,yes
2020,Orthotics East,Unregulated health professional,yes,yes
2020,Osheplin,Self-regulated health professional,yes,yes
2020,Osprey Angels Home Care Services,Personal care service,yes,yes
2020,Osprey Arts Centre,"Live, performing arts for audience",yes,yes
2020,Osprey Athletics,Fitness establishment,yes,yes
2020,Osprey's Nest Public House,Restaurant with onsite dining,yes,yes
2020,Osteopathic Clinic,Personal care service,yes,yes
2020,OT Health,Self-regulated health professional,yes,yes
2020,Otis & Clementine's Books & Coffee,Restaurant with onsite dining,yes,yes
2020,Otium Restaurant,Restaurant with onsite dining,yes,yes
2020,Ottoto's Custom Menswear Limited,Small retail,no,yes
2020,Our Backyard BBQ,Restaurant with onsite dining,yes,no
2020,Outdoor Focus,Fitness establishment,yes,yes
2020,Outside Edge Elite Training,Fitness establishment,yes,yes
2020,Overzet Wellness Center,Self-regulated health professional,yes,yes
2020,Owls Ridge Farm,Fitness establishment,yes,yes
2020,Oxygen Yoga and Fitness,Fitness establishment,yes,yes
2020,Oyster Promo,In-person trade shows and exhibitions,no,yes
2020,P&C Retail Management,Independent gas retail,no,yes
2020,P.F. Consignment,Small retail,no,yes
2020,P3 Hair and Beauty Supplies,Personal care service,yes,yes
2020,PA Catering,Small retail,no,yes
2020,Paddy's Pub / Rosie's Restaurant,Restaurant with onsite dining,yes,yes
2020,Pain In The Neck Massage Therapy,Unregulated health professional,yes,yes
2020,Pain Resolution Centre,Self-regulated health professional,yes,yes
2020,Paint it Pretty Hair & Nails,Personal care service,yes,yes
2020,Paint Night,In-person trade shows and exhibitions,yes,yes
2020,Pajo's Bowling Alley,Fitness establishment,yes,yes
2020,Palladium Family Restaurant,Restaurant with onsite dining,yes,yes
2020,Panda Buffet,Restaurant with onsite dining,yes,yes
2020,Panda Print Shop,Small retail,no,yes
2020,Papa Mario's Pizza,Restaurant with onsite dining,yes,yes
2020,Papas Pub & Eatery,Restaurant with onsite dining,yes,yes
2020,Paradigm Orthodontics,Dental office,no,yes
2020,Paragon Golf & Country Club,Restaurant with onsite dining,no,yes
2020,Park & Kim,Restaurant with onsite dining,yes,yes
2020,Park Street Dental Clinic,Dental office,no,yes
2020,Park West Chiropractic,Self-regulated health professional,yes,yes
2020,Park West Dental Office,Dental office,no,yes
2020,Park West Physiotherapy and Sports Injury Clinic,Self-regulated health professional,yes,yes
2020,Park West Physiotherapy and Sports Injury Clinic,Self-regulated health professional,yes,yes
2020,Parkhill Events,In-person trade shows and exhibitions,yes,yes
2020,Parkside Pub and Smokehouse,Restaurant with onsite dining,yes,yes
2020,Parkview Family Restaurant,Restaurant with onsite dining,yes,yes
2020,Parkview Styles Salon,Personal care service,yes,yes
2020,Party On People Entertainment Solutions,"Live, performing arts for audience",yes,yes
2020,Pascalice's Bistro,Restaurant with onsite dining,yes,yes
2020,Passage Community Dental,Dental office,no,yes
2020,Patron's Bar & Grill,Restaurant with onsite dining,yes,yes
2020,Patti's Hair Salon,Personal care service,yes,yes
2020,Pavia,Restaurant with onsite dining,yes,yes
2020,Pavia,Restaurant with onsite dining,no,yes
2020,Pavilion Hair Salon & Spa,Personal care service,yes,yes
2020,Paw Prints Doggy Daycare and Grooming,Veterinarian,yes,yes
2020,Payless Automotive,Independent gas retail,no,yes
2020,Peak Athletic Therapy,Unregulated health professional,yes,yes
2020,Peak Energy Chiropractic,Unregulated health professional,yes,yes
2020,Peak Energy Chiropractic,Self-regulated health professional,yes,yes
2020,Peak Performance Therapy,Self-regulated health professional,no,yes
2020,Peasant's Pantry,Restaurant with onsite dining,yes,no
2020,Peep Toe Esthetics,Personal care service,yes,yes
2020,Peggy's Cove Replicas,Small retail,no,yes
2020,Peking Restaurant,Restaurant with onsite dining,yes,no
2020,Penelopes Boutique,Small retail,no,yes
2020,Penhorn Dental Centre,Dental office,no,yes
2020,Peninsula Massage Therapy,Unregulated health professional,yes,yes
2020,Perky Owl Coffee,Restaurant with onsite dining,no,yes
2020,Perry's Gym,Fitness establishment,yes,yes
2020,Personal Care Physio and Osteo,Self-regulated health professional,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,no
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,no,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal care service,Personal care service,yes,yes
2020,Personal Image Hair Studio,Personal care service,yes,yes
2020,Petite Dentistry,Dental office,no,yes
2020,Petite Riviere Vineyards,Drinking establishment,yes,yes
2020,Petite Urban Pooch,Personal care service,yes,yes
2020,Petpeswick Yacht Club,Fitness establishment,no,yes
2020,Petpeswick Yacht Club,Not for profit,yes,no
2020,PG Café & Grill,Restaurant with onsite dining,yes,yes
2020,Phalanges Nail Salon,Personal care service,yes,yes
2020,Phase 2 Performance,Fitness establishment,yes,yes
