ID,Name,TypeofLMI,LMIName,Description,Location,TargetAudience,Access,UpdateFrequency,InformationDepth,ReleaseDate,SegmentSpecific
195,BuildForce Canada,products,Brochure: Foreign Credentials and Skills Assessment for the Construction Industry: Information for Employers,This brochure informs employers about the Foreign Credentials and Skills Assessment (FCSA) Workbook and how it can help them understand and assess the skills and experience of foreign-trained workers.,http://www.buildforce.ca/en/products/brochure-foreign-credentials-and-skills-assessment-construction-industry-information-0,"Immigrants, Construction, Employers, Developers",Open,NA,"Occupation, Sectoral",2009,Immigrant
196,BuildForce Canada,products,Foreign Credentials and Skills Assessment for the Construction Industry: A Workbook for Employment Counsellors,This workbook provides detailed outlines of 26 Red Seal construction trades. It is designed for settlement or employment counsellors to use with clients whose skills fit into one or more of these trades.,http://www.buildforce.ca/en/products/foreign-credentials-and-skills-assessment-construction-industry-workbook-employment,"Immigrants, Construction, Employers, Developers",Open,NA,"Occupation, Sectoral",2009,
197,BuildForce Canada,products,How Do Your Skills Measure Up? Self-Assessment Construction Worker’s Workbook,"This Essential Skills tool is for tradespeople, apprentices and people interested in construction careers who want to assess their current Essential Skills and their readiness for technical training.",http://www.buildforce.ca/en/products/how-do-your-skills-measure-self-assessment-construction-workers-workbook,"Employees, Apprentices, Job Seekers, Public",Open,NA,"Individual, Occupation, Sectoral",2010,Youth
198,Consulting Engineers of Nova Scotia,products,Consulting Engineers of Nova Scotia (CENS),"A key role of the Consulting Engineers of Nova Scotia ,(CENS), is to advocate on behalf of the consulting engineering industry with clients and regulators.",http://cens.org/,,Restricted,,Provincial,,NA
199,Contact Centre Nova Scotia,products,Contact Centre Nova Scotia,Objectives: To share industry knowledge and best practices with our members – To strengthen the image of the contact centre industry in Nova Scotia – To serve as the voice to government and the media – To provide a forum for networking.,http://contactcentrenovascotia.com/,,Open,,Provincial,,NA
200,Cosmetology Association of Nova Scotia,products,Cosmetology Association of Nova Scotia,The Cosmetology Association of NS is a non-profit organization originally organized by the Hairdressers of the Province (members).  was incorporated in 1962.  The Cosmetology Act is administered by the Association and falls under the jurisdiction of the Department of Labor and Advanced Education.,http://www.nscosmetology.ca/,,Restricted,,Provincial,,NA
201,Cultural Human Resources Council,products,Cultural Human Resources Council,"The cultural sector comprises literally hundreds of occupations in eight broad sub-sectors: live performing arts, writing and publishing, visuals arts and crafts, film and television, broadcasting, digital media, music and sound recording, and heritage.",http://www.culturalhrc.ca/,,Restricted,,Regional,,NA
203,"Department of Finance, Nova Scotia Government",products,Labour Market Report,"Provides a range of information related to different types of employment, labour market stats,  employment and unemployment by economic region in NS as defined by Stats Can.",https://novascotia.ca/finance/statistics/topic.asp?fto=20t,,Open,Monthly,Industry,NA,NA
204,"Department of Finance, Nova Scotia Government",products,Statistics at the Department of Finance,"This website is used to provide provincial level data to the public and to policy makers. It is mainly used for business and the data is not up to date right now. The main categories in this website are; Our Economy, Our People, Our Communities.",http://www.gov.ns.ca/finance/statistics/agency/default.asp,,Open,Periodical,Unclear,NA,NA
209,Department of Labour and Advanced Education,research,Understanding the Workforce Development Needs of Nova Scotia's Road Building Industry,"Based on qualitative and quantitative research concerning hiring, retention, training and succession planning that was shared in an industry forum, three areas were identified in which work needs to be done to build the human resource capacity of the road",http://nsrba.ca/files/Road%20Builders%20Report%20-%20Mar%2031%20-%20FINAL.pdf,,Open,NA,,NA,
210,Digital Nova  Scotia,products,Digital Nova Scotia,"Digital Nova Scotia mission is to promote the growth and development of the Digital Technologies Industry in Nova Scotia through the sharing of experiences, internal and external collaborations, and disseminating Digital Technology opportunities and information.",http://www.digitalnovascotia.com/,,Restricted,,National,,Any / All
212,Doctors Nova Scotia,products,Doctors Nova Scotia,Doctors Nova Scotia is the professional association representing all physicians in the province.,http://www.doctorsns.com/en/home/default.aspx,,Restricted,,Provincial,,Any / All
213,Eastern Fishermen's Federation,products,Eastern Fishermen's Federation,The Eastern Fishermen's Federation was formed in1979 primarily to provide a voice for the many diverse fish harvester's organizations throughout the Maritime and Gulf regions.,http://www.easternfishermensfederation.ca/,,OPEN,,Regional,,NA
214,ECO Canada,products,ECO Canada,To ensure an adequate supply of people with the demonstrated skills and knowledge required to meet the environmental human resource needs of the public and private sectors.,http://www.eco.ca/,,Restricted,,Regional,,Any / All
215,Electricity Sector Council,products,Electricity Sector Council,"The Electricity Sector Council develops sector based initiatives which strengthen the ability of stakeholders in the Canadian electricity industry to meet current and future needs for a skilled, safety focused, and internationally competitive workforce.",http://electricityhr.ca/,,Restricted,,Regional,,Any / All
216,Emerit,research,Using Benefits to Attract Workers: The Value Proposition of Non-wage Benefits,"This report identifies the benefits and perks that will be cost effective for employers. In an online survey, 1,000 Canadians rated 23 benefits and perks.",http://emerit.ca/product/LMINWB1.0-OL-E/en,"Employers, Employees, Business, Government, Managers, Professional groups",Restricted,NA,Business,NA,
217,Employment and Social Development Canada,products,Job Market Trends and News,"Investigate the situation in local labour market across Canada, including industrial events, unemployment rates, economic trends and community information such as demographics, educational institutions, medical facilities and much more.",https://www.jobbank.gc.ca/LMI_bulletin.do?cid=3373&EVENTCD=&INDUSTRYCD=&AREA=0004,,Open,Monthly,Municipal,NA,NA
235,Forest Products Sector Council,products,Renewing Canada's Greenest Workforce: A Labour Market Intelligence Report,"This study identifies key demographic trends in the forest product sector including a set of labour demand projections to 2020 and employment demographics of the most in-demand occupations on a national, regional, and sub-sector level.",http://fpsc-cspf.ca/,,OPEN,,Regional,,NA
218,Employment and Social Development Canada,products,Canadian Occupational Projection System (COPS),"Human Resources and Skills Development Canada develops projections of future labour demand and labour supply by broad skill level and by occupation, using the models of the Canadian Occupational Projection System (COPS). These projections allow for identifying those occupations that are likely to face shortage or surplus of workers over the medium term. Users can search for occupational summaries, more detailed data and technical documents on the results or the methodology used to do the projections.",http://occupations.esdc.gc.ca/sppc-cops/w.2lc.4m.2@-eng.jsp,,Open,NA,Occupation,NA,NA
219,Employment and Social Development Canada,products,Training,"Information on education, training, financial assistance and the skills you need to find and keep a job.",https://www.canada.ca/en/services/jobs/training.html,,Open,Ongoing,,,
220,Employment and Social Development Canada,products,Job and Skill Requirements,Learn about the education and employment requirements needed to do the job and the specific skills that employers are requiring in today's job market.,https://www.jobbank.gc.ca/skillsandknowledge?action=search_form,,Open,NA,Occupation,NA,NA
221,Employment and Social Development Canada,products,Job Descriptions,Consult this section for the common duties or tasks performed on the job and the general working conditions for the occupation.,https://www.jobbank.gc.ca/occupationsearch,,Open,NA,Occupation,NA,NA
222,Employment and Social Development Canada,products,Explore careers by outlook,Compare outlooks for different occupations or different locations.,https://www.jobbank.gc.ca/explorecareers?select=ec-outlook,,Open,Ongoing,Occupation,,
223,Employment and Social Development Canada,products,Search for Potential Employers,Search for potential employers in local communities across Canada. Please note that these businesses may have NO current job openings.,https://www.jobbank.gc.ca/findajob,,Open,NA,Occupation,NA,Any / All
224,Employment and Social Development Canada,products,Compare wages for different occupations and locations,Get an idea of what people are paid in various occupations across Canada. Please note that wage information may not be available for all occupations in all areas.,https://www.jobbank.gc.ca/explorecareers?select=ec-wages,,Open,NA,Occupation,NA,NA
225,Employment and Social Development Canada,products,Explore Careers by Education Program,See what occupations are linked to various education programs across Canada.,https://www.jobbank.gc.ca/education_search-eng.do,,Open,NA,Occupation,NA,NA
227,Employment and Social Development Canada,research,Jobs & the Workplace,"Find work, explore skills and training, make career decisions, plan retirement and apply for temporary financial assistance.",https://www.canada.ca/en/services/jobs.html,"Counsellors, Educators, Employees, Employers, Government, HR Professional, Researchers",Open,Periodical,Occupation,NA,Any / All
228,Employment and Social Development Canada,products,Job Bank,"This site allows users to explore top advertised jobs, how much money they can make, and what skills they'll need to succeed in the labour market.",http://www.jobbank.gc.ca,,Open,NA,Occupation,NA,Any / All
229,Engineers Canada,products,Engineers Canada,"Engineers Canada is the national organization of the 12 provincial and territorial associations that regulate the profession of engineering in Canada and license the country's more than 250,000 members of the engineering profession.",http://www.engineerscanada.ca/,,Restricted,,National,,Any / All
230,Engineers Nova Scotia,products,Engineers Nova Scotia,Engineers Nova Scotia is the licensing and regulatory body for the more than 5000 Professional Engineers and Engineers-in-Training practicing in Nova Scotia or on Nova Scotia Projects.,http://www.engineersnovascotia.ca/,,Restricted,,Provincial,,Any / All
231,Environmental Services Association of Nova Scotia,products,ESANS (Environmental Services Association of Nova Scotia),"The Environmental Services Association of Nova Scotia has been operating for almost 20 years as a not-for-profit province-wide business organization dedicated to the promotion of environmental products, services and organizations within the environmental industry.",http://www.esans.ca/,,OPEN,,Provincial,,Any / All
250,Halifax Partnership,research,Halifax: Hub City for the Maritime Provinces: A Profile of Hub City Attributes,"This report highlights the attributes, such as  economic assets, labour force characteristics, niche industries and regional decision makers, concentrated in Halifax that benefit all of Nova Scotia and beyond.",http://www.halifaxpartnership.com,,Restricted,NA,Municipal,2010,NA
232,Federation of Community Organizations Phoenix Youth Programs,research,The state of health of the non-profit/voluntary sector in Nova Scotia,"According to Statistics Canada (2003), the non-profit sector in Nova Scotia is comprised of 5,829 organizations that employ 36,098 persons.  The non-profit sector is known for playing a significant role in provincial society and perhaps less known for its significant contribution to the economy.  To put this in perspective, the construction sector in Nova Scotia reported annual employment levels of 24 to 28,000 persons over the past number of years.  The primary purpose of this research study is to document the defining characteristics of the non-profit sector workforce and the challenges that exist related to human resource (HR) management.",http://dc.msvu.ca:8080/xmlui/bitstream/handle/10587/1001/NonprofitSectorLabourForceDiscussionPaper.pdf?sequence=1,,Open,NA,Provincial,2010,Any / All
233,Fishermen & Scientists Research Society,products,Fishermen & Scientists Research Society,Active partnership between fishermen and scientists. The objective of this partnership is to establish and maintain a network of fishermen and scientific personnel that are concerned with the long-term sustainability of the marine fishing industry in the Atlantic Region.,http://www.fsrs.ns.ca/,,OPEN,,Regional,,Any / All
234,Food Processing HR Council,products,Food Processing HR Council,"The Food Processing Human Resource Council is the HR voice for Canadian food processors.  FPHRC monitors the industry's HR developments and needs, and is a leader in delivering HR information and training tools to support a safe and secure food supply and viable and competitive food processing sector.",http://www.fphrc.ca/,,Restricted,,Regional,,Any / All
236,Forum for International Trade Training,products,Forum for International Trade Training,FITT is committed to developing and providing quality programs and professional certification in international trade designed to prepare businesses and individuals to compete successfully in world markets.,http://www.fitt.ca/en/Home,,Restricted,,Regional,,Immigrants
237,Forum for Labour Market Ministers,products,Forum for Labour Market Ministers,"The Forum of Labour Market Ministers (FLMM) is composed of provincial and territorial ministers, and the federal minister, responsible for the labour market. It was created in 1983 to promote discussion and cooperation on labour market matters.",http://www.flmm-lmi.org/english/view.asp?x=1,,OPEN,,National,,NA
238,Forum of Labour Market Ministers LMI Working Group,products,Labour Market Information Product Guidelines,Addresses a need for standardization and quality assurance in the development of LMI products.,http://www.flmm-lmi.org/CMFiles/Publications/whatnew/LMI-Product-Guidelines-ENG-2.02.pdf,,OPEN,,National,2013,NA
239,Forum of Labour Market Ministers LMI Working Group,products,Labour Market Information Service Delivery Guidelines,Gives organizations a useful tool to create and evaluate career and LMI service delivery initiatives.,http://www.flmm-lmi.org/CMFiles/Publications/whatnew/LMI-Service-Guidelines-ENG-2.02.pdf,,OPEN,,National,2013,NA
240,Geoscientists Nova Scotia,products,Geoscientists Nova Scotia,"Geoscientists Nova Scotia are committed to  holding paramount the health, safety and welfare of the public and the protection of the environment while contributing significantly to the economy of Nova Scotia.",http://www.geoscientistsns.ca/,,OPEN,,Provincial,,NA
241,Government of Canada,research,Skills in Canada: First Results from the Programme for the International Assessment of Adult Competencies (PIAAC),"This report presents the first results of the Programme for the International Assessment of Adult Competencies (PIAAC), an initiative of OECD.",http://cmec.ca/Publications/Lists/Publications/Attachments/315/Canadian-PIAAC-Report.EN.pdf,"Academic, Counsellors, Educators, Government, Public, Policymakers, Researchers, Students",Open,Every 5-10 years,Varies,2013,
244,Government of Canada,primary,Public Service Employee Survey,"It provides employees the opportunity to anonymously voice their opinions on their leadership, workforce and work environment. It is conducted by Statistics Canada on behalf of the Office of the Chief Human Resources Officer.",https://www.canada.ca/en/treasury-board-secretariat/services/innovation/public-service-employee-survey.html,"Government, Managers, Employees, Unions, Public",Open,Every 2-5 years,"National, Occupation",2011,
246,Statistics Canada,primary,Canadian Income Survey,The Canadian Income Survey (CIS) is a cross-sectional survey developed to assess the economic well-being of individuals and families in Canada.,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5200,"Researchers, Government, Public, Policymakers",Open,Annually,"Household, Individual, National",2012,Youth
247,Halifax Partnership,primary,Economic Data,Various economic and labour market information specific to Halifax.,http://www.halifaxpartnership.com/en/home/economic-data-reports/default.aspx,,Open,Periodical,Municipal,NA,NA
248,Halifax Partnership,primary,Economic Snapshot,"A brief snapshot of the economy during that quarter as compared with the previous year's quarters, starting in 2004. ",http://www.halifaxpartnership.com/en/home/economic-data-reports/default.aspx,,Open,Quarterly,Municipal,NA,NA
249,Halifax Partnership,research,Attracting and Retaining Talent to Greater Halifax,Identify Greater Halifax's strengths and liabilities with respect to the attraction and retention of the next generation.,https://www.yumpu.com/en/document/read/30531466/a-halifax-innovation-agenda-greater-halifax-partnership,,Open,NA,Municipal,2007,NA
251,Halifax Partnership,research,Halifax's Finance and Insurance Industry: Our Opportunity,A industry report with significant pieces of labour market information.,https://www.slideshare.net/GreaterHalifaxPartnership/halifax-finance-insuranceindustryouropportunity2007,,Open,NA,Municipal,2007,NA
252,Halifax Partnership,research,Hire Immigrant - Halifax: Greater Halifax Partnership Report for Grant Funding,A report on the Hire Immigrant- Halifax project. Includes various pieces of Labour Market Information.,http://www.halifaxpartnership.com,,Restricted,NA,Municipal,2010,NA
253,Halifax Partnership,research,Insureconomy: An Economic Impact and Future Growth Study of NS's High Value Insurance Sector,This summary report is the result of a collaborative effort amongst organizations interested in understanding the current economic impact of the insurance industry in Nova Scotia as a means of determining how best to leverage future growth opportunities to the benefit of all Nova Scotians.,http://www.insureconomy.ca/ns/img/INSURECONOMY_Summary_Report.pdf,,Open,NA,Provincial,2010,NA
254,Halifax Partnership,research,The Y2E Framework: Greater Halifax's Inclusive Priority Youth Employment Strategy,"A report on the project, funded by Service Canada, focused on improving the connection between local businesses and priority youth, ultimately building an employment framework or model that makes the connection between these two disconnected groups.",https://www.slideshare.net/GreaterHalifaxPartnership/halifax-youth-employmentframework2010,,Open,NA,Municipal,2009,NA
257,Halifax Chamber of Commerce,research,Report on the Population Crisis,"Report on the Population Crisis outlines the looming population and labour shortage crisis facing Nova Scotia. The Report ties together the effects of a three-pronged problem highlighting the need for Nova Scotian businesses to adapt to a declining and aging population, overall economic shifts, and a changing workforce.",http://halifaxchamber.com,,Restricted,NA,Business,2009,NA
258,Health Care Human Resource Sector Council,products,Passport to a Diverse Workforce,"The Passport to Diversity Project is a project of the IEHP – (Internationally Educated Health Professionals ) Atlantic Connection Phase 11 Project funded through the Health Canada , Health Care Strategies and Contribution Program in collaboration with the Health Care Human Resource Sector Council.",http://passport.hcsc.ca/,,Open,NA,Provincial,2006,NA
306,Maritime Provinces Higher Education Commission,research,Research and Statistics on Higher Education in the Maritimes,Provides research and statistics on higher education in the Maritime provinces,http://www.mphec.ca/research/researchandstatistics.aspx,"Educators, Academics, Students, Government, Policymakers",Open,Annually,"Provincial, Regional",NA,
259,Health Care Human Resource Sector Council,research,Continuing Care Assistant (CCA) Nova Scotia Supply and Demand Study,"The project goal is to build on existing research in order to develop a current profile of CCAs in Nova Scotia, which will help stakeholders and provincial decision-makers to better understand the nature and magnitude of trends within the sector that impact the available supply of CCAs to meet current and future demands.",https://hcsc.ca/wp-content/uploads/2016/11/CCA_Final_Report.pdf,,Open,NA,Provincial,2008,Any / All
260,Health Care Human Resource Sector Council,research,HHR Navigator/Placement Coordinator For Continuing Care In Nova Scotia Phase 1,"The purpose of this project is to work with stakeholders to design a conceptual framework and an implementation guide for the integration of health human resources into the continuing care sector in Nova Scotia. The primary focus of this project shall be Continuing Care Assistants (CCAs); however, a process guide for HHR navigation will document required procedures and required support mechanisms and will be transferrable to other health care professions in accordance with current provincial frameworks of the Government of Nova Scotia.",http://www.hcsc.ca,,Restricted,NA,Provincial,2009,Any / All
261,Health Care Human Resource Sector Council,research,Medical Laboratory Technologists Study,This study aims to address the MLT shortage challenge beyond what budgetary limitations of additional hiring can achieve by considering means of enhancing occupational efficiencies.,http://www.hcsc.ca,,Restricted,NA,Provincial,2010,NA
262,Health Care Human Resource Sector Council,research,Registered Social Workers (RSW) in Nova Scotia Supply and Demand Study,"The purpose of this project was to build on existing research in order to develop a current profile of Registered Social Workers (RSW's) in Nova Scotia, which will help regulatory bodies, provincial decision-makers and stakeholders to better understand the nature and magnitude of trends within the sector that impact the available supply of RSW's to meet current and future demands. This information will be used to contribute to a supply and demand forecast for RSW's in Nova Scotia that can be integrated into a broad health human resource strategy for the Nova Scotia health sector. This project is funded by Service Canada Local Labour Market Partnerships, Nova Scotia Department of Health and the Nova Scotia Department of Labour and Workforce Development.",http://www.hcsc.ca,,Restricted,NA,Provincial,2009,"immigrant, aboriginal"
263,Health Care Human Resources Sector Council,research,Health Care Human Resources Sector Council,"The Health Care Human Resource Sector Council deals with human resource planning and development within the Nova Scotia health sector. The Health Care Human Resource Sector Council is committed to providing objective focus, research, innovation and collaborative linkages to assist others in Nova Scotia.",http://www.hcsc.ca/,,OPEN,,National,,NA
265,"Heating, Refrigeration, and Air Conditioning Institute",products,"Heating, Refrigeration, and Air Conditioning Institute","HRAI advocates a safe, responsible and fair industry where indoor environment systems are designed, installed and serviced by qualified professionals in order ensure efficient and energy-conscious operation.",http://www.hrai.ca/,,OPEN,,National,,NA
266,HR Council for the Non-Profit Sector,products,HR Council for the Non-Profit Sector,"The HR Council for the Non-profit Sector (HR Council) takes action on non-profit labour force issues. As a catalyst, the HR Council sparks awareness and action on labour force issues. As a convenor, we bring together people, information and ideas in the spirit of collaborative action. As a research instigator we are building knowledge and improving our understanding of the non-profit labour force.",https://communityfoundations.ca/our-work/nonprofit-talent/,,OPEN,,Regional,,NA
267,CPHR Nova Scotia,products,CPHR Nova Scotia,CPHR Nova Scotia is the exclusive granting body in Nova Scotia of the nationally recognized Chartered Professional in Human Resources (CPHR) designation - the leading standard for HR Professionals in Canada.,https://cphrns.ca/,,Restricted,,Regional,,Any / All
268,"Innovation, Science and Economic Development Canada",products,"Innovation, Science and Economic Development Canada","Innovation, Science and Economic Development Canada (ISED) works with Canadians in all areas of the economy and in all parts of the country to improve conditions for investment, enhance Canada's innovation performance, increase Canada's share of global trade and build a fair, efficient and competitive marketplace.",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,,OPEN,,National,,Any / All
271,"Innovation, Science and Economic Development Canada",products,Canada Jobs Grant,"The Canada Job Grant helps employers train new or existing employees for jobs that need to be filled. This flexible program is designed to meet the needs of businesses of all sizes, in all industries and regions.",https://www.canada.ca/en/employment-social-development/programs/job-grant.html,,Open,NA,Business,NA,immigrant
272,"Innovation, Science and Economic Development Canada",research,International Mobility of Highly Skilled Workers: A Synthesis of Key Findings and Policy Implications,"Highly skilled labour is an essential input to an innovative economy. In recent decades, highly skilled workers have become more mobile internationally. Furthermore, high demand for skills in industrialized countries has led to intense international competition for these mobile workers. Immigration and emigration, either temporary or permanent, of highly skilled workers can help provide Canada with people with needed skills; but if Canada's overall attractiveness to these workers is insufficient, they will go elsewhere. Canada needs to adjust to new skills requirements and global skills competition in order to support a more innovative knowledge-based economy. An essential element of this adjustment is to increase Canada's ability to attract and retain highly skilled workers. The chief issue challenging policymakers is how to structure policy responses to benefit from the international mobility of highly skilled workers, taking into consideration the variety of ways the mobility of the highly skilled affects the domestic labour market and the economy. The aim of this synthesis report is to support policy development by drawing on the research findings from the projects conducted under the Skills Research Initiative (SRI) supplemented by other research.",https://www.ic.gc.ca/eic/site/eas-aes.nsf/vwapj/SRIsr04.pdf/$FILE/SRIsr04.pdf,,Open,NA,National,2008,Any / All
307,Massage Therapists Association of Nova Scotia,products,Massage Therapists Association of Nova Scotia,"MTANS is a self governing body of massage therapists and is dedicated to protecting the public, serving its members, and promoting the highest possible quality of the practice of massage therapy.",https://www.mtans.ca/,,Restricted,,Provincial,,Any / All
273,"Innovation, Science and Economic Development Canada",research,The Labour Market and Skill Implications of Population Aging in Canada: A Synthesis of Key Findings,"The Canadian population is aging. Population aging will affect Canada's ability to provide the talent and skills needed to build an increasingly innovative and productive knowledge-based economy; and population aging will have a wide range of labour market impacts beyond its effects on skills. Policy responses to the skills and labour market effects of population aging require knowledge of these effects, but there are important knowledge gaps. To address these gaps, the Skills Research Initiative (SRI) identified ""Skills and Labour Market Implications of Population Aging in Canada"" as one of its four research themes. The SRI research projects on this theme are now completed. This synthesis report discusses the knowledge they have generated and its implications for policy.",https://www.ic.gc.ca/eic/site/eas-aes.nsf/vwapj/SRIsr02.pdf/$FILE/SRIsr02.pdf,,Open,NA,National,2008,Any / All
274,"Innovation, Science and Economic Development Canada",research,Adjustments in Markets for Skilled Workers in Canada: A Synthesis of Key Findings and Policy Implications,"Canada is committed to building a more innovative, more productive knowledge-based economy. A key part of this commitment is to ensure that the talent and skills required are available. The Skills Research Initiative (SRI) is a medium-term policy research",https://www.ic.gc.ca/eic/site/eas-aes.nsf/vwapj/SRIsr03.pdf/$FILE/SRIsr03.pdf,,Open,NA,National,2008,Any / All
275,Information and Communications Technology Council,products,Information and Communications Technology Council,"The Information and Communications Technology Council (ICTC) is a centre of expertise in Information and Communications Technology (ICT) research, policy development, and workforce solutions.  ICTC enables industries to maintain a competitive advantage in a global market and develop Canada's future skilled and innovative talent.",http://www.ictc-ctic.ca/,,Restricted,,Regional,,immigrant
276,"Installation, Maintenance and Repair Sector Council",products,Installation Maintenance and Repair Sector Council (IMR),"IMR carries out activities that contribute to the building of strong businesses, development of qualified workers, labour market information, regulations and standards, best practices for the purpose of improving the quality of service and the public image of the service industry within Canada.",http://www.imrsectorcouncil.ca/,,OPEN,,Regional,,immigrant
278,Insurance Brokers Association of Nova Scotia,products,Insurance Brokers of Nova Scotia,"IBANS is a member of the Insurance Brokers Association of Canada (IBAC), a national trade organization, that brings together 11 provincial associations of Property and Casualty (P&C) insurance brokers in Canada.",http://www.ibans.com,,OPEN,,Provincial,,immigrant
279,Investment Property Owners Association of Nova Scotia Limited,products,(IPOANS) Investment Property Owners Association of Nova Scotia Limited,IPOANS is an organization dedicated to representing the interests of private residential property owners in the province and providing members with services of substantial benefit.,http://www.ipoans.ca/,,OPEN,,Provincial,,Any / All
297,Department of Labour and Advanced Education,products,Labour Force Survey,Monthly update on Labour Force Survey.,https://explorecareers.novascotia.ca/ns-labourmarket,,Open,,Monthly,,NA
313,Nova Scotia Association of Architects,products,Nova Scotia Association of Architects,The Nova Scotia Association of Architects is a professional organization formed to administer and direct the practice of architecture in the Province of Nova Scotia.,http://www.nsaa.ns.ca/,,Restricted,,Provincial,,Any / All
280,ISANS,research,Adult Immigrant Learning Needs in Atlantic Canadian Communities: Report on a Series of Community Knowledge-Exchange Meetings,This is a report on a series of four knowledge exchange meetings in each of the Atlantic Canadian Provinces organized by HILC and the Adult Learning Knowledge Centre's Community Connections Working Group.  These meetings were aimed at identifying the particular learning needs of adult immigrants within Atlantic Canada.  The meetings were designed to provide participants with an open and candid discussion forum in which they could describe their experiences with and issues around adult learning since their immigration to Canada.  Issues included access to educational opportunities and employment.,http://www.ccl-cca.ca,,Restricted,NA,Regional,2008,Any / All
281,ISANS,research,Going the Distance: A Framework for Providing Distance Services in Nova Scotia,"Work in Nova Scotia (WINS) is a bridging program designed to facilitate the integration of newcomers into the provincial workforce. This report describes the WINS distance program and, according to the report, the goals of the program were to integrate the appropriate use of technology into effective delivery of programs and services for newcomers in Nova Scotia that supports convenience, high quality learning and customization to clients, and to use appropriate technology to maximize access and minimize barriers to HILC and MISA programs and services for all Nova Scotian newcomers.",http://www.isans.ca,,Restricted,NA,Provincial,2008,Any / All
282,ISANS,research,Integrating International Medical Graduates: Nova Scotia Resources & Gaps,This paper aims to analyze and synthesize information on the resources and gaps in the IMG licensing process in Nova Scotia and provide recommendations to the province to ensure a fair and effective process for their integration in the health care system and support this group in their journey to be licensed.,http://www.isans.ca,,Restricted,NA,Provincial,2009,Any / All
283,ISANS,research,Senior Immigrants Needs and Assets Assessment,"Immigrant Settlement and Integration Services (ISIS) conducted a Needs and Assets Assessment of senior immigrants ages 55 years and over in the Halifax Regional Municipality (HRM). The report includes information on labour shortages, aging population, employment opportunities, and the role of seniors and senior immigrants.",http://www.isans.ca,,Restricted,NA,Municipal,2010,Any / All
304,Maritime Provinces Higher Education Commission,research,Intentions of University Graduates,"More than 12,000 Maritime university students were in their final weeks of a bachelor's degree in late March 2007. New Brunswick, Nova Scotia and Prince Edward Island, under the Council of Atlantic Ministers of Education and Training, together with the Maritime Provinces Higher Education Commission and the Canadian Council on Learning, joined in a partnership, with cooperation from the region's universities, to conduct a survey of these students in order to gain insight into attitudes toward, and plans for, pursuing further education, as well as preparedness for further studies and the workforce. The study also provides important information on student debt at graduation.",http://www.mphec.ca/research/IntentionsUniversityGraduates.aspx,,Open,NA,Industry,2008,Any / All
284,ISANS,research,New Beginnings Online - Pre-Pilot Project,"This report is a description of a project. The project entailed offering an online or distance series of pre- employment workshops to participants from China, India and the Philippines intending to emigrate to Canada. The purpose of the online workshops was to facilitate the labour market integration of newcomers anywhere in Canada. The aim of the New Beginnings Online Pre-pilot was to assist a group of skilled professionals before landing to become fully prepared to effectively search for work in Canada. Over the four month period of the project, the three workshops of the New Beginnings Online Program were delivered to a group of participants who had been approved to immigrate to Canada either through the federal Skilled Worker Program or a Provincial Nominee Program. The workshops included the Job Search Workshop, Interview Skills Workshop and the Working in Canada Workshop.",http://www.isans.ca,,Restricted,NA,Provincial,2008,Any / All
285,ISANS,research,Working with Immigrants Beyond HRM,"This report is a description of a project. The Nova Scotia Distance Workplace Skills Initiative was a nine-month project (September 2006-May  2007) funded by Human Resources and Skills Development Canada and delivered by Metropolitan Immigrant Settlement Association (MISA) and Halifax Immigrant Learning Centre (HILC). This project was intended to develop a framework for services to immigrants in Nova Scotia outside the Halifax Regional Municipality (HRM), in collaboration with local communities. The focus was to be on language, workplace skills, and business support.",http://www.isans.ca,,Restricted,NA,Provincial,2007,Any / All
286,Department of Labour and Advanced Education,products,Outlooks Methodology,"Employment outlooks are displayed on Explore Careers, where possible, for each occupation. Occupations receive an outlook of either Good, Average, Limited, or Undetermined.",https://explorecareers.novascotia.ca/outlooks-methodology,,OPEN,,Varies,,NA
287,Department of Labour and Advanced Education,products,Occupational Profile Sources,"Provides the source, update frequency, and date last updated for each data point found in the occupational profile.",https://explorecareers.novascotia.ca/sources,,OPEN,NA,Varies,,NA
288,Department of Labour and Advanced Education,products,Guide to Understanding Labour Market Information (LMI),"This guide was created to help you to understand Labour Market Information (LMI). You will learn how to find and use LMI to make good decisions about your education, your career, your workplace, your community, and your life. There is a myriad of information to draw from. With the tips and suggestions in this guide you can use this information to make better choices for yourself.",https://explorecareers.novascotia.ca/sites/default/files/2018-06/16-44875%20Labour%20Market%20Info%20English%20SPREADS%20FINAL-s.pdf,,OPEN,,N/A,,Any / All
289,Department of Labour and Advanced Education,products,Wage Methodology,"Information on how wages are displayed and calculated, and other frequently asked questions about wages.",https://explorecareers.novascotia.ca/wage-methodology,,OPEN,,"Industry, Occupation",,NA
290,Department of Labour and Advanced Education,products,Compare Jobs,Compare up to five occupations.,https://explorecareers.novascotia.ca/compareoccupations,,open,NA,"Business, Individual",,NA
291,Department of Labour and Advanced Education,products,Education,Search for a post-secondary education program.,https://explorecareers.novascotia.ca/educationandtraining,,OPEN,,Varies,,Any / All
292,Department of Labour and Advanced Education,products,Labour Market Information,Information on Nova Scotia's labour market.,https://explorecareers.novascotia.ca/labourmarketinformation,,Open,,Varies,,NA
